timestep,N1,N2,N3,N4
2018-01-01 00:00,0,0,0,0
2018-01-01 01:00,0,0,0,0
2018-01-01 02:00,0,0,0,0
2018-01-01 03:00,0,0,0,0
2018-01-01 04:00,0,0,0,0
2018-01-01 05:00,0.042043636,0,0,0
2018-01-01 06:00,0.199972815,0,0,0
2018-01-01 07:00,0.386363343,0,0.005262301,0.001790974
2018-01-01 08:00,0.548506925,0.018821617,0.056057665,0.043167642
2018-01-01 09:00,0.631186183,0.068862584,0.107295965,0.098233983
2018-01-01 10:00,0.629603668,0.149660331,0.148709772,0.14073292
2018-01-01 11:00,0.565810749,0.242538617,0.157946677,0.170526578
2018-01-01 12:00,0.436682494,0.281761454,0.143105766,0.164604937
2018-01-01 13:00,0.238226503,0.265184841,0.112309959,0.112838823
2018-01-01 14:00,0.018953202,0.22838494,0.060347668,0.035846697
2018-01-01 15:00,0,0.151082818,0.013244537,0
2018-01-01 16:00,0,0.048822865,0,0
2018-01-01 17:00,0,0,0,0
2018-01-01 18:00,0,0,0,0
2018-01-01 19:00,0,0,0,0
2018-01-01 20:00,0,0,0,0
2018-01-01 21:00,0,0,0,0
2018-01-01 22:00,0,0,0,0
2018-01-01 23:00,0,0,0,0
2018-01-02 00:00,0,0,0,0
2018-01-02 01:00,0,0,0,0
2018-01-02 02:00,0,0,0,0
2018-01-02 03:00,0,0,0,0
2018-01-02 04:00,0,0,0,0
2018-01-02 05:00,0.133964352,0,0,0
2018-01-02 06:00,0.370838133,0,0,0
2018-01-02 07:00,0.536645289,0,0.007207505,0
2018-01-02 08:00,0.635214901,0.042656119,0.042962985,0.009775167
2018-01-02 09:00,0.675399479,0.164627786,0.084231214,0.032098364
2018-01-02 10:00,0.660452672,0.261478213,0.114052753,0.057155949
2018-01-02 11:00,0.584653481,0.304247881,0.114598991,0.077471475
2018-01-02 12:00,0.455972362,0.304334238,0.106136897,0.076107541
2018-01-02 13:00,0.245002625,0.272082989,0.081308059,0.053811898
2018-01-02 14:00,0.015451258,0.215337241,0.039055783,0.017495924
2018-01-02 15:00,0,0.134352665,0.004590541,0
2018-01-02 16:00,0,0.042295501,0,0
2018-01-02 17:00,0,0,0,0
2018-01-02 18:00,0,0,0,0
2018-01-02 19:00,0,0,0,0
2018-01-02 20:00,0,0,0,0
2018-01-02 21:00,0,0,0,0
2018-01-02 22:00,0,0,0,0
2018-01-02 23:00,0,0,0,0
2018-01-03 00:00,0,0,0,0
2018-01-03 01:00,0,0,0,0
2018-01-03 02:00,0,0,0,0
2018-01-03 03:00,0,0,0,0
2018-01-03 04:00,0,0,0,0
2018-01-03 05:00,0.025744591,0,0,0
2018-01-03 06:00,0.151046804,0,0,0
2018-01-03 07:00,0.290180469,0,0,0
2018-01-03 08:00,0.301995733,0.040948216,0.026377529,0.011048407
2018-01-03 09:00,0.280301254,0.16032077,0.083777584,0.040125451
2018-01-03 10:00,0.319125696,0.273290394,0.140083201,0.062080759
2018-01-03 11:00,0.319556775,0.328362566,0.169473537,0.073112762
2018-01-03 12:00,0.241596411,0.347487238,0.164160906,0.063852835
2018-01-03 13:00,0.08979838,0.315192262,0.125303814,0.034599344
2018-01-03 14:00,0.001014055,0.238491706,0.057602148,0.0071747
2018-01-03 15:00,0,0.154179165,0.00651854,0
2018-01-03 16:00,0,0.04534087,0,0
2018-01-03 17:00,0,0,0,0
2018-01-03 18:00,0,0,0,0
2018-01-03 19:00,0,0,0,0
2018-01-03 20:00,0,0,0,0
